Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
0.334	1.1	0.002	0.002
0.332	1.1	0.002	0.002
0.329	1.108	0.002	0.002
0.317	1.108	0.002	0.002
0.317	1.092	0.002	0.002
0.315	1.092	0.002	0.002
0.311	1.1	0.002	0.002
0.303	1.108	0.002	0.002
0.303	1.092	0.002	0.002
0.303	1.1	0.002	0.002
0.3	1.1	0.002	0.002
0.296	1.092	0.002	0.002
0.294	1.1	0.002	0.002
0.289	1.083	0.002	0.002
0.288	1.108	0.002	0.002
0.283	1.1	0.002	0.002
0.28	1.1	0.002	0.002
0.279	1.1	0.002	0.002
0.277	1.1	0.002	0.002
0.275	1.1	0.002	0.002
0.271	1.092	0.002	0.002
0.266	1.092	0.002	0.002
0.262	1.092	0.002	0.002
0.261	1.083	0.002	0.002
0.261	1.092	0.002	0.002
0.259	1.092	0.002	0.002
0.257	1.092	0.002	0.002
0.247	1.083	0.002	0.002
0.245	1.108	0.002	0.002
0.245	1.092	0.002	0.002
0.245	1.108	0.002	0.002
0.239	1.108	0.002	0.002
0.239	1.083	0.002	0.002
0.231	1.092	0.002	0.002
0.23	1.092	0.002	0.002
0.227	1.092	0.002	0.002
0.225	1.083	0.002	0.002
0.223	1.1	0.002	0.002
0.222	1.1	0.002	0.002
0.212	1.108	0.002	0.002
0.207	1.092	0.002	0.002
-0.208	1.1	0.002	0.002
-0.213	1.092	0.002	0.002
-0.221	1.075	0.002	0.002
-0.221	1.092	0.002	0.002
-0.227	1.108	0.002	0.002
-0.232	1.1	0.002	0.002
-0.234	1.067	0.002	0.002
-0.241	1.108	0.002	0.002
-0.25	1.075	0.002	0.002
-0.25	1.108	0.002	0.002
-0.252	1.1	0.002	0.002
-0.253	1.092	0.002	0.002
-0.255	1.092	0.002	0.002
-0.261	1.1	0.002	0.002
-0.267	1.092	0.002	0.002
-0.269	1.1	0.002	0.002
-0.27	1.1	0.002	0.002
-0.271	1.1	0.002	0.002
-0.277	1.1	0.002	0.002
-0.283	1.1	0.002	0.002
-0.283	1.092	0.002	0.002
-0.284	1.1	0.002	0.002
-0.289	1.1	0.002	0.002
-0.291	1.108	0.002	0.002
-0.297	1.075	0.002	0.002
-0.297	1.108	0.002	0.002
-0.299	1.1	0.002	0.002
-0.31	1.083	0.002	0.002
-0.31	1.092	0.002	0.002
-0.311	1.108	0.002	0.002
-0.313	1.1	0.002	0.002
-0.317	1.1	0.002	0.002
-0.319	1.108	0.002	0.002
-0.327	1.1	0.002	0.002
-0.332	1.1	0.002	0.002
-0.335	1.092	0.002	0.002
-0.339	1.083	0.002	0.002
