Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
2.0	0.348	0.002	0.002
0.875	0.347	0.002	0.002
3.133	0.345	0.002	0.002
4.258	0.34	0.002	0.002
5.375	0.335	0.002	0.002
8.733	0.335	0.002	0.002
7.617	0.333	0.002	0.002
6.492	0.329	0.002	0.002
9.867	0.327	0.002	0.002
10.983	0.323	0.002	0.002
12.108	0.323	0.002	0.002
13.233	0.315	0.002	0.002
14.35	0.31	0.002	0.002
15.475	0.31	0.002	0.002
17.708	0.307	0.002	0.002
16.583	0.302	0.002	0.002
18.85	0.298	0.002	0.002
21.075	0.294	0.002	0.002
19.967	0.291	0.002	0.002
22.2	0.288	0.002	0.002
24.45	0.279	0.002	0.002
27.792	0.275	0.002	0.002
26.683	0.272	0.002	0.002
25.567	0.271	0.002	0.002
28.942	0.27	0.002	0.002
30.05	0.269	0.002	0.002
31.158	0.267	0.002	0.002
33.417	0.261	0.002	0.002
34.525	0.255	0.002	0.002
36.775	0.251	0.002	0.002
35.642	0.251	0.002	0.002
37.883	0.246	0.002	0.002
39.017	0.246	0.002	0.002
40.133	0.243	0.002	0.002
41.25	0.237	0.002	0.002
42.375	0.23	0.002	0.002
43.492	0.227	0.002	0.002
44.608	0.224	0.002	0.002
45.717	0.222	0.002	0.002
46.85	0.219	0.002	0.002
47.958	0.21	0.002	0.002
49.075	0.21	0.002	0.002
50.192	0.207	0.002	0.002
52.442	0.197	0.002	0.002
53.008	0.199	0.002	0.002
51.9	0.205	0.002	0.002
50.767	0.207	0.002	0.002
49.642	0.215	0.002	0.002
48.533	0.217	0.002	0.002
45.175	0.224	0.002	0.002
47.408	0.226	0.002	0.002
44.042	0.23	0.002	0.002
42.933	0.232	0.002	0.002
40.7	0.232	0.002	0.002
41.817	0.235	0.002	0.002
39.567	0.237	0.002	0.002
37.325	0.24	0.002	0.002
38.458	0.242	0.002	0.002
36.2	0.246	0.002	0.002
35.083	0.252	0.002	0.002
33.975	0.254	0.002	0.002
31.733	0.257	0.002	0.002
30.617	0.265	0.002	0.002
29.492	0.268	0.002	0.002
27.25	0.279	0.002	0.002
21.65	0.282	0.002	0.002
22.758	0.285	0.002	0.002
26.117	0.285	0.002	0.002
19.4	0.289	0.002	0.002
23.9	0.289	0.002	0.002
18.275	0.291	0.002	0.002
20.517	0.293	0.002	0.002
17.158	0.295	0.002	0.002
16.042	0.298	0.002	0.002
14.925	0.3	0.002	0.002
12.683	0.31	0.002	0.002
13.792	0.313	0.002	0.002
11.542	0.318	0.002	0.002
10.433	0.322	0.002	0.002
9.3	0.323	0.002	0.002
8.183	0.331	0.002	0.002
7.058	0.337	0.002	0.002
5.925	0.338	0.002	0.002
4.817	0.343	0.002	0.002
3.708	0.345	0.002	0.002
2.558	0.345	0.002	0.002
1.442	0.351	0.002	0.002
0.317	0.351	0.002	0.002
