t (seconds)	θ (degrees)	uncertainty t (type b from 120fps)	uncertainty θ (based on the precision of tracker app's autotracker measurements which can vary because of motion blur, estimated to be on the magnitude of +-(0.5/4=0.1) degree)
0	-5.636818	0.008	0.1
0.033333335	-2.645887	0.008	0.1
0.06666665	1.296647	0.008	0.1
0.1	5.202289	0.008	0.1
0.13333335	8.960839	0.008	0.1
0.16666665	12.36746	0.008	0.1
0.2	15.34106	0.008	0.1
0.23333335	17.6915	0.008	0.1
0.26666665	19.37608	0.008	0.1
0.3	20.15135	0.008	0.1
0.33333335	20.44987	0.008	0.1
0.36666665	20.09211	0.008	0.1
0.4	18.67471	0.008	0.1
0.43333335	16.67661	0.008	0.1
0.46666665	14.09333	0.008	0.1
0.5	10.96938	0.008	0.1
0.5333335	7.693465	0.008	0.1
0.5666665	3.941055	0.008	0.1
0.6	0.04577457	0.008	0.1
0.6333335	-3.762197	0.008	0.1
0.6666665	-7.615282	0.008	0.1
0.7	-11.04036	0.008	0.1
0.7333335	-14.07267	0.008	0.1
0.7666665	-16.56888	0.008	0.1
0.8	-18.43527	0.008	0.1
0.8333335	-19.41752	0.008	0.1
0.8666665	-19.82543	0.008	0.1
0.9	-19.60768	0.008	0.1
0.9333335	-18.38675	0.008	0.1
0.9666665	-16.51195	0.008	0.1
1	-14.00022	0.008	0.1
1.0333335	-11.09962	0.008	0.1
1.0666665	-7.768405	0.008	0.1
1.1	-3.829996	0.008	0.1
1.1333335	0.1267328	0.008	0.1
1.1666665	3.952918	0.008	0.1
1.2	7.753796	0.008	0.1
1.2333335	11.21414	0.008	0.1
1.2666665	14.35988	0.008	0.1
1.3	16.87462	0.008	0.1
1.3333335	18.88655	0.008	0.1
1.3666665	20.17013	0.008	0.1
1.4	20.59722	0.008	0.1
1.4333335	20.43749	0.008	0.1
1.4666665	19.43439	0.008	0.1
1.5	17.58376	0.008	0.1
1.5333335	15.09724	0.008	0.1
1.5666665	12.20038	0.008	0.1
1.6	8.858913	0.008	0.1
1.6333335	5.224934	0.008	0.1
1.6666665	1.352678	0.008	0.1
1.7	-2.029271	0.008	0.1
1.7333335	-5.853537	0.008	0.1
1.7666665	-9.406573	0.008	0.1
1.8	-12.63209	0.008	0.1
1.8333335	-15.3157	0.008	0.1
1.8666665	-17.53917	0.008	0.1
1.9	-18.98518	0.008	0.1
1.9333335	-19.61349	0.008	0.1
1.9666665	-19.50822	0.008	0.1
2	-18.73992	0.008	0.1
2.0333335	-17.18785	0.008	0.1
2.0666665	-14.95509	0.008	0.1
2.1	-12.15218	0.008	0.1
2.1333335	-8.855367	0.008	0.1
2.1666665	-5.317103	0.008	0.1
2.2	-1.555821	0.008	0.1
2.2333335	2.368437	0.008	0.1
2.2666665	6.155977	0.008	0.1
2.3	9.864457	0.008	0.1
2.3333335	13.16691	0.008	0.1
2.3666665	16.00593	0.008	0.1
2.4	18.20342	0.008	0.1
2.4333335	19.75771	0.008	0.1
2.4666665	20.53938	0.008	0.1
2.5	20.54127	0.008	0.1
2.5333335	19.89427	0.008	0.1
2.5666665	18.39078	0.008	0.1
2.6	16.2095	0.008	0.1
2.6333335	13.44155	0.008	0.1
2.6666665	10.25861	0.008	0.1
2.7	6.69676	0.008	0.1
2.7333335	2.850542	0.008	0.1
2.7666665	-1.065273	0.008	0.1
2.8	-4.910356	0.008	0.1
2.8333335	-8.638655	0.008	0.1
2.8666665	-11.98662	0.008	0.1
2.9	-14.74283	0.008	0.1
2.9333335	-16.9191	0.008	0.1
2.9666665	-18.51387	0.008	0.1
3	-19.57388	0.008	0.1
3.0333335	-19.76232	0.008	0.1
3.0666665	-19.3454	0.008	0.1
3.1	-17.96289	0.008	0.1
3.1333335	-15.87641	0.008	0.1
3.1666665	-13.21847	0.008	0.1
3.2	-10.08507	0.008	0.1
3.2333335	-6.559812	0.008	0.1
3.2666665	-2.670123	0.008	0.1
3.3	1.241904	0.008	0.1
3.3333335	5.056592	0.008	0.1
3.3666665	8.805819	0.008	0.1
3.4	12.17895	0.008	0.1
3.4333335	15.16006	0.008	0.1
3.4666665	17.53818	0.008	0.1
3.5	19.18949	0.008	0.1
3.5333335	20.03164	0.008	0.1
3.5666665	20.29246	0.008	0.1
3.6	20.06308	0.008	0.1
3.6333335	18.81503	0.008	0.1
3.6666665	16.90887	0.008	0.1
3.7	14.47073	0.008	0.1
3.7333335	11.38442	0.008	0.1
3.7666665	7.921959	0.008	0.1
3.8	4.150945	0.008	0.1
3.8333335	0.2430755	0.008	0.1
3.8666665	-3.623871	0.008	0.1
3.9	-7.46016	0.008	0.1
3.9333335	-10.84311	0.008	0.1
3.9666665	-13.87828	0.008	0.1
4	-16.26021	0.008	0.1
4.0333335	-18.06588	0.008	0.1
4.0666665	-19.20813	0.008	0.1
4.1	-19.57797	0.008	0.1
4.1333335	-19.34826	0.008	0.1
4.1666665	-18.20852	0.008	0.1
4.2	-16.39149	0.008	0.1
4.2333335	-14.01654	0.008	0.1
4.2666665	-11.09091	0.008	0.1
4.3	-7.664612	0.008	0.1
4.3333335	-4.008588	0.008	0.1
4.3666665	-0.04414713	0.008	0.1
4.4	3.782924	0.008	0.1
4.4333335	7.514711	0.008	0.1
4.4666665	10.90582	0.008	0.1
4.5	14.04379	0.008	0.1
4.5333335	16.58114	0.008	0.1
4.5666665	18.61092	0.008	0.1
4.6	19.78424	0.008	0.1
4.6333335	20.3216	0.008	0.1
4.6666665	20.15778	0.008	0.1
4.7	19.12519	0.008	0.1
4.7333335	17.48017	0.008	0.1
4.7666665	15.14615	0.008	0.1
4.8	12.34232	0.008	0.1
4.8333335	9.01544	0.008	0.1
4.8666665	5.433119	0.008	0.1
4.9	1.525584	0.008	0.1
4.9333335	-2.312053	0.008	0.1
4.9666665	-6.170775	0.008	0.1
5	-9.721563	0.008	0.1
5.033335	-12.92076	0.008	0.1
5.066665	-15.48252	0.008	0.1
5.1	-17.27532	0.008	0.1
5.133335	-18.77958	0.008	0.1
5.166665	-19.50017	0.008	0.1
5.2	-19.53966	0.008	0.1
5.233335	-18.74053	0.008	0.1
5.266665	-17.3543	0.008	0.1
5.3	-15.14733	0.008	0.1
5.333335	-12.4531	0.008	0.1
5.366665	-9.193389	0.008	0.1
5.4	-5.677534	0.008	0.1
5.433335	-1.683433	0.008	0.1
5.466665	2.196219	0.008	0.1
5.5	6.017218	0.008	0.1
5.533335	9.639741	0.008	0.1
5.566665	12.84358	0.008	0.1
5.6	15.53843	0.008	0.1
5.633335	17.74371	0.008	0.1
5.666665	19.17423	0.008	0.1
5.7	20.00939	0.008	0.1
5.733335	20.19956	0.008	0.1
5.766665	19.64542	0.008	0.1
5.8	18.36672	0.008	0.1
5.833335	16.22475	0.008	0.1
5.866665	13.61888	0.008	0.1
5.9	10.39384	0.008	0.1
5.933335	7.001552	0.008	0.1
5.966665	3.195091	0.008	0.1
6	-0.734495	0.008	0.1
6.033335	-4.542296	0.008	0.1
6.066665	-8.266695	0.008	0.1
6.1	-11.46736	0.008	0.1
6.133335	-14.34745	0.008	0.1
6.166665	-16.68388	0.008	0.1
6.2	-18.45302	0.008	0.1
6.233335	-19.36846	0.008	0.1
6.266665	-19.50246	0.008	0.1
6.3	-19.10307	0.008	0.1
6.333335	-17.69211	0.008	0.1
6.366665	-15.68473	0.008	0.1
6.4	-13.15231	0.008	0.1
6.433335	-10.09442	0.008	0.1
6.466665	-6.657619	0.008	0.1
6.5	-2.872252	0.008	0.1
6.533335	1.007395	0.008	0.1
6.566665	4.843839	0.008	0.1
6.6	8.646904	0.008	0.1
6.633335	11.8572	0.008	0.1
6.666665	14.83318	0.008	0.1
6.7	17.31342	0.008	0.1
6.733335	19.04944	0.008	0.1
6.766665	20.07601	0.008	0.1
6.8	20.32772	0.008	0.1
6.833335	20.11047	0.008	0.1
6.866665	18.782	0.008	0.1
6.9	16.86781	0.008	0.1
6.933335	14.45396	0.008	0.1
6.966665	11.37775	0.008	0.1
7	8.112927	0.008	0.1
7.033335	4.479544	0.008	0.1
7.066665	0.5979051	0.008	0.1
7.1	-3.297924	0.008	0.1
7.133335	-6.855623	0.008	0.1
7.166665	-10.25667	0.008	0.1
7.2	-13.30305	0.008	0.1
7.233335	-15.78074	0.008	0.1
7.266665	-17.60033	0.008	0.1
7.3	-18.78448	0.008	0.1
7.333335	-19.2712	0.008	0.1
7.366665	-19.13504	0.008	0.1
7.4	-18.07567	0.008	0.1
7.433335	-16.26493	0.008	0.1
7.466665	-13.88896	0.008	0.1
7.5	-10.9595	0.008	0.1
7.533335	-7.537502	0.008	0.1
7.566665	-3.950576	0.008	0.1
7.6	-0.0837885	0.008	0.1
7.633335	3.768048	0.008	0.1
7.666665	7.543896	0.008	0.1
7.7	10.95036	0.008	0.1
7.733335	14.0701	0.008	0.1
7.766665	16.61599	0.008	0.1
7.8	18.65973	0.008	0.1
7.833335	19.93582	0.008	0.1
7.866665	20.3595	0.008	0.1
7.9	20.23116	0.008	0.1
7.933335	19.18622	0.008	0.1
7.966665	17.54279	0.008	0.1
8	15.19621	0.008	0.1
8.033335	12.41597	0.008	0.1
8.066665	9.046631	0.008	0.1
8.1	5.55091	0.008	0.1
8.133335	1.735166	0.008	0.1
8.166665	-2.209868	0.008	0.1
8.2	-5.970786	0.008	0.1
8.233335	-9.42359	0.008	0.1
8.266665	-12.59992	0.008	0.1
8.3	-15.16897	0.008	0.1
8.333335	-17.20474	0.008	0.1
8.366665	-18.62986	0.008	0.1
8.4	-19.30486	0.008	0.1
8.433335	-19.19413	0.008	0.1
8.466665	-18.37675	0.008	0.1
8.5	-16.8122	0.008	0.1
8.533335	-14.61206	0.008	0.1
8.566665	-12.16337	0.008	0.1
8.6	-8.908562	0.008	0.1
8.633335	-5.513471	0.008	0.1
8.666665	-1.714268	0.008	0.1
8.7	2.19723	0.008	0.1
8.733335	5.861598	0.008	0.1
8.766665	9.322134	0.008	0.1
8.8	12.6898	0.008	0.1
8.833335	15.32831	0.008	0.1
8.866665	17.53854	0.008	0.1
8.9	19.03103	0.008	0.1
8.933335	19.82666	0.008	0.1
8.966665	19.97908	0.008	0.1
9	19.60375	0.008	0.1
9.033335	18.27614	0.008	0.1
9.066665	16.23916	0.008	0.1
9.1	13.63227	0.008	0.1
9.133335	10.54667	0.008	0.1
9.166665	7.200749	0.008	0.1
9.2	3.505157	0.008	0.1
9.233335	-0.4099263	0.008	0.1
9.266665	-4.237806	0.008	0.1
9.3	-7.778316	0.008	0.1
9.333335	-10.98812	0.008	0.1
9.366665	-13.91494	0.008	0.1
9.4	-16.22902	0.008	0.1
9.433335	-17.8222	0.008	0.1
9.466665	-18.8466	0.008	0.1
