t (seconds)	θ (degrees)	uncertainty t (type b)	uncertainty θ (type b, based on the precision of tracker app's autotracker measurements which can vary because of motion blur, estimated to be on the magnitude of +-1 degree)
0	85.89732	0.01	1
0.03333333	85.71249	0.01	1
0.06666667	83.7617	0.01	1
0.1	79.92823	0.01	1
0.1333333	73.4001	0.01	1
0.1666667	63.58557	0.01	1
0.2	53.03086	0.01	1
0.2333333	40.95706	0.01	1
0.2666667	28.61982	0.01	1
0.3	15.02751	0.01	1
0.3333333	-3.021979	0.01	1
0.3666667	-16.47562	0.01	1
0.4	-31.44718	0.01	1
0.4333333	-43.26823	0.01	1
0.4666667	-53.78406	0.01	1
0.5	-63.84361	0.01	1
0.5333333	-72.38068	0.01	1
0.5666667	-78.35392	0.01	1
0.6	-82.2982	0.01	1
0.6333333	-85.23491	0.01	1
0.6666667	-85.28919	0.01	1
0.7	-82.65598	0.01	1
0.7333333	-78.7731	0.01	1
0.7666667	-72.34725	0.01	1
0.8	-62.41925	0.01	1
0.8333333	-53.39737	0.01	1
0.8666667	-43.87008	0.01	1
0.9	-27.25671	0.01	1
0.9333333	-14.80597	0.01	1
0.9666667	2.467742	0.01	1
1	17.43199	0.01	1
1.033333	29.39705	0.01	1
1.066667	42.03127	0.01	1
1.1	57.56451	0.01	1
1.133333	67.42995	0.01	1
1.166667	74.7146	0.01	1
1.2	80.391	0.01	1
1.233333	85.07621	0.01	1
1.266667	85.02914	0.01	1
1.3	84.53103	0.01	1
1.333333	83.72863	0.01	1
1.366667	80.11157	0.01	1
1.4	74.28748	0.01	1
1.433333	66.16341	0.01	1
1.466667	56.68773	0.01	1
1.5	44.05452	0.01	1
1.533333	30.36289	0.01	1
1.566667	16.35325	0.01	1
1.6	1.952046	0.01	1
1.633333	-12.07556	0.01	1
1.666667	-27.46451	0.01	1
1.7	-40.59814	0.01	1
1.733333	-51.8179	0.01	1
1.766667	-60.96504	0.01	1
1.8	-68.71247	0.01	1
1.833333	-75.22762	0.01	1
1.866667	-80.92277	0.01	1
1.9	-83.50092	0.01	1
1.933333	-83.95515	0.01	1
1.966667	-82.03242	0.01	1
2	-78.38132	0.01	1
2.033333	-71.81521	0.01	1
2.066667	-63.97553	0.01	1
2.1	-53.75253	0.01	1
2.133333	-41.74162	0.01	1
2.166667	-29.96157	0.01	1
2.2	-14.96523	0.01	1
2.233333	-1.934614	0.01	1
2.266667	15.09944	0.01	1
2.3	29.01421	0.01	1
2.333333	43.14294	0.01	1
2.366667	55.40666	0.01	1
2.4	65.86928	0.01	1
2.433333	74.03574	0.01	1
2.466667	79.15159	0.01	1
2.5	79.64901	0.01	1
2.533333	83.49163	0.01	1
2.566667	83.47312	0.01	1
2.6	81.54217	0.01	1
2.633333	76.56933	0.01	1
2.666667	70.35098	0.01	1
2.7	61.25978	0.01	1
2.733333	50.47505	0.01	1
2.766667	39.28128	0.01	1
2.8	26.96783	0.01	1
2.833333	11.57387	0.01	1
2.866667	-4.812697	0.01	1
2.9	-19.641	0.01	1
2.933333	-32.26289	0.01	1
2.966667	-38.37254	0.01	1
3	-48.45865	0.01	1
3.033333	-58.10995	0.01	1
3.066667	-67.82525	0.01	1
3.1	-74.82677	0.01	1
3.133333	-79.69283	0.01	1
3.166667	-83.00901	0.01	1
3.2	-83.01024	0.01	1
3.233333	-81.80099	0.01	1
3.266667	-78.21709	0.01	1
3.3	-72.24088	0.01	1
3.333333	-64.40732	0.01	1
3.366667	-54.57066	0.01	1
3.4	-44.51359	0.01	1
3.433333	-31.30136	0.01	1
3.466667	-14.78639	0.01	1
3.5	0.1473376	0.01	1
3.533333	14.4951	0.01	1
3.566667	26.67308	0.01	1
3.6	40.82628	0.01	1
3.633333	53.71707	0.01	1
3.666667	63.65894	0.01	1
3.7	72.49775	0.01	1
3.733333	78.26767	0.01	1
3.766667	80.6263	0.01	1
3.8	83.07672	0.01	1
3.833333	82.96849	0.01	1
3.866667	80.39172	0.01	1
3.9	75.50485	0.01	1
3.933333	68.42661	0.01	1
3.966667	61.40192	0.01	1
4	50.67363	0.01	1
4.033333	39.10231	0.01	1
4.066667	25.33407	0.01	1
4.1	9.744215	0.01	1
4.133333	-5.911265	0.01	1
4.166667	-19.55163	0.01	1
4.2	-32.71509	0.01	1
4.233333	-41.71768	0.01	1
4.266667	-52.19279	0.01	1
4.3	-61.36226	0.01	1
4.333333	-69.10231	0.01	1
4.366667	-76.40351	0.01	1
4.4	-79.99811	0.01	1
4.433333	-81.3732	0.01	1
4.466667	-80.69422	0.01	1
4.5	-77.88445	0.01	1
4.533333	-73.09138	0.01	1
4.566667	-65.96771	0.01	1
4.6	-61.64086	0.01	1
4.633333	-52.59624	0.01	1
4.666667	-43.47428	0.01	1
4.7	-27.12688	0.01	1
4.733333	-14.27405	0.01	1
4.766667	1.171298	0.01	1
4.8	16.77897	0.01	1
4.833333	31.72862	0.01	1
4.866667	44.31961	0.01	1
4.9	56.15063	0.01	1
4.933333	65.43799	0.01	1
4.966667	72.32205	0.01	1
5	77.44632	0.01	1
5.033333	79.56167	0.01	1
5.066667	81.41479	0.01	1
5.1	81.52236	0.01	1
5.133333	78.60722	0.01	1
5.166667	73.90243	0.01	1
5.2	67.23326	0.01	1
5.233333	61.0358	0.01	1
5.266667	50.10894	0.01	1
5.3	36.11409	0.01	1
5.333333	23.70168	0.01	1
5.366667	9.884467	0.01	1
5.4	-3.872196	0.01	1
5.433333	-18.02962	0.01	1
5.466667	-32.54806	0.01	1
5.5	-45.74639	0.01	1
5.533333	-55.10965	0.01	1
5.566667	-65.58854	0.01	1
5.6	-72.45392	0.01	1
5.633333	-77.48622	0.01	1
5.666667	-80.39278	0.01	1
5.7	-81.17063	0.01	1
5.733333	-80.14007	0.01	1
5.766667	-76.86523	0.01	1
5.8	-71.59508	0.01	1
5.833333	-64.15145	0.01	1
5.866667	-55.00273	0.01	1
5.9	-44.16331	0.01	1
5.933333	-28.01192	0.01	1
5.966667	-14.45631	0.01	1
6	-5.584203	0.01	1
6.033333	11.44255	0.01	1
6.066667	26.09841	0.01	1
6.1	38.24104	0.01	1
6.133333	49.78446	0.01	1
6.166667	61.60882	0.01	1
6.2	69.98626	0.01	1
6.233333	73.34459	0.01	1
6.266667	76.29725	0.01	1
6.3	79.38613	0.01	1
6.333333	80.33341	0.01	1
6.366667	79.38718	0.01	1
