Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
1.403	1.233	0.002	0.008
1.392	1.2	0.002	0.008
1.369	1.2	0.002	0.008
1.34	1.2	0.002	0.008
1.324	1.2	0.002	0.008
1.314	1.167	0.002	0.008
1.299	1.2	0.002	0.008
1.284	1.167	0.002	0.008
1.265	1.2	0.002	0.008
1.217	1.167	0.002	0.008
1.215	1.167	0.002	0.008
1.182	1.167	0.002	0.008
1.163	1.167	0.002	0.008
1.144	1.167	0.002	0.008
1.128	1.167	0.002	0.008
1.113	1.133	0.002	0.008
1.092	1.167	0.002	0.008
1.074	1.167	0.002	0.008
1.067	1.133	0.002	0.008
1.057	1.167	0.002	0.008
1.045	1.133	0.002	0.008
1.042	1.167	0.002	0.008
1.032	1.133	0.002	0.008
1.021	1.133	0.002	0.008
1.015	1.133	0.002	0.008
1.005	1.167	0.002	0.008
1.001	1.133	0.002	0.008
0.997	1.133	0.002	0.008
0.992	1.133	0.002	0.008
0.979	1.133	0.002	0.008
0.973	1.133	0.002	0.008
0.958	1.133	0.002	0.008
0.951	1.1	0.002	0.008
0.948	1.133	0.002	0.008
0.946	1.133	0.002	0.008
0.935	1.133	0.002	0.008
0.919	1.133	0.002	0.008
0.911	1.1	0.002	0.008
0.901	1.133	0.002	0.008
0.896	1.1	0.002	0.008
0.89	1.133	0.002	0.008
0.874	1.133	0.002	0.008
0.87	1.1	0.002	0.008
0.856	1.133	0.002	0.008
0.852	1.133	0.002	0.008
0.845	1.133	0.002	0.008
0.841	1.1	0.002	0.008
0.837	1.1	0.002	0.008
0.836	1.1	0.002	0.008
0.819	1.133	0.002	0.008
0.815	1.1	0.002	0.008
0.801	1.1	0.002	0.008
0.8	1.1	0.002	0.008
0.791	1.133	0.002	0.008
0.786	1.1	0.002	0.008
0.785	1.1	0.002	0.008
0.78	1.1	0.002	0.008
0.78	1.133	0.002	0.008
0.779	1.1	0.002	0.008
0.766	1.1	0.002	0.008
0.759	1.1	0.002	0.008
0.758	1.133	0.002	0.008
0.756	1.1	0.002	0.008
0.741	1.1	0.002	0.008
0.738	1.1	0.002	0.008
0.73	1.1	0.002	0.008
0.73	1.133	0.002	0.008
0.727	1.067	0.002	0.008
0.727	1.1	0.002	0.008
0.724	1.133	0.002	0.008
0.715	1.1	0.002	0.008
0.714	1.1	0.002	0.008
0.713	1.1	0.002	0.008
0.701	1.1	0.002	0.008
0.701	1.1	0.002	0.008
0.696	1.1	0.002	0.008
0.681	1.067	0.002	0.008
0.674	1.1	0.002	0.008
0.668	1.1	0.002	0.008
0.666	1.1	0.002	0.008
0.665	1.1	0.002	0.008
0.659	1.1	0.002	0.008
0.653	1.1	0.002	0.008
0.652	1.1	0.002	0.008
0.645	1.1	0.002	0.008
0.642	1.067	0.002	0.008
0.637	1.1	0.002	0.008
0.632	1.1	0.002	0.008
0.629	1.1	0.002	0.008
0.626	1.1	0.002	0.008
0.619	1.067	0.002	0.008
0.618	1.1	0.002	0.008
0.617	1.1	0.002	0.008
0.61	1.1	0.002	0.008
0.604	1.067	0.002	0.008
0.603	1.1	0.002	0.008
0.601	1.1	0.002	0.008
0.6	1.1	0.002	0.008
0.599	1.1	0.002	0.008
0.591	1.067	0.002	0.008
0.59	1.1	0.002	0.008
0.589	1.1	0.002	0.008
0.586	1.1	0.002	0.008
0.583	1.067	0.002	0.008
0.581	1.1	0.002	0.008
0.572	1.1	0.002	0.008
0.568	1.067	0.002	0.008
0.568	1.1	0.002	0.008
0.563	1.1	0.002	0.008
0.558	1.067	0.002	0.008
0.552	1.1	0.002	0.008
0.551	1.1	0.002	0.008
0.547	1.1	0.002	0.008
0.546	1.1	0.002	0.008
0.543	1.067	0.002	0.008
0.542	1.067	0.002	0.008
0.54	1.067	0.002	0.008
0.539	1.1	0.002	0.008
0.532	1.1	0.002	0.008
0.531	1.1	0.002	0.008
0.528	1.1	0.002	0.008
0.528	1.067	0.002	0.008
0.528	1.067	0.002	0.008
0.524	1.067	0.002	0.008
0.522	1.1	0.002	0.008
0.512	1.1	0.002	0.008
0.511	1.1	0.002	0.008
0.51	1.067	0.002	0.008
0.506	1.067	0.002	0.008
0.506	1.1	0.002	0.008
0.504	1.1	0.002	0.008
0.5	1.067	0.002	0.008
0.495	1.1	0.002	0.008
0.489	1.067	0.002	0.008
0.488	1.067	0.002	0.008
0.486	1.1	0.002	0.008
0.485	1.1	0.002	0.008
0.48	1.067	0.002	0.008
0.478	1.1	0.002	0.008
0.478	1.1	0.002	0.008
0.478	1.067	0.002	0.008
0.476	1.067	0.002	0.008
0.475	1.1	0.002	0.008
0.471	1.067	0.002	0.008
0.467	1.1	0.002	0.008
0.467	1.067	0.002	0.008
0.463	1.067	0.002	0.008
0.458	1.067	0.002	0.008
0.454	1.1	0.002	0.008
0.454	1.1	0.002	0.008
0.449	1.1	0.002	0.008
0.448	1.1	0.002	0.008
0.442	1.067	0.002	0.008
0.442	1.067	0.002	0.008
0.439	1.067	0.002	0.008
0.437	1.1	0.002	0.008
0.434	1.067	0.002	0.008
0.43	1.1	0.002	0.008
0.428	1.1	0.002	0.008
0.428	1.067	0.002	0.008
0.427	1.067	0.002	0.008
0.425	1.1	0.002	0.008
0.425	1.067	0.002	0.008
0.415	1.067	0.002	0.008
0.414	1.1	0.002	0.008
0.412	1.067	0.002	0.008
0.412	1.1	0.002	0.008
0.412	1.067	0.002	0.008
0.411	1.067	0.002	0.008
0.408	1.1	0.002	0.008
0.404	1.067	0.002	0.008
0.402	1.1	0.002	0.008
0.402	1.067	0.002	0.008
0.401	1.1	0.002	0.008
0.401	1.067	0.002	0.008
0.399	1.067	0.002	0.008
0.397	1.1	0.002	0.008
0.393	1.1	0.002	0.008
0.392	1.1	0.002	0.008
0.39	1.067	0.002	0.008
0.389	1.067	0.002	0.008
0.386	1.067	0.002	0.008
0.385	1.1	0.002	0.008
0.384	1.067	0.002	0.008
0.384	1.067	0.002	0.008
0.382	1.1	0.002	0.008
0.38	1.067	0.002	0.008
0.379	1.067	0.002	0.008
0.376	1.067	0.002	0.008
0.373	1.1	0.002	0.008
0.373	1.067	0.002	0.008
0.369	1.1	0.002	0.008
0.366	1.067	0.002	0.008
0.366	1.067	0.002	0.008
0.364	1.1	0.002	0.008
0.359	1.1	0.002	0.008
0.359	1.067	0.002	0.008
0.357	1.067	0.002	0.008
0.355	1.1	0.002	0.008
0.355	1.067	0.002	0.008
0.355	1.1	0.002	0.008
0.354	1.067	0.002	0.008
0.354	1.067	0.002	0.008
0.353	1.067	0.002	0.008
0.352	1.1	0.002	0.008
0.352	1.067	0.002	0.008
0.349	1.067	0.002	0.008
0.348	1.067	0.002	0.008
0.348	1.067	0.002	0.008
0.345	1.1	0.002	0.008
0.345	1.067	0.002	0.008
0.34	1.067	0.002	0.008
0.337	1.1	0.002	0.008
0.336	1.067	0.002	0.008
0.336	1.067	0.002	0.008
0.334	1.067	0.002	0.008
0.332	1.067	0.002	0.008
0.331	1.067	0.002	0.008
0.328	1.1	0.002	0.008
0.325	1.067	0.002	0.008
0.324	1.1	0.002	0.008
0.324	1.067	0.002	0.008
0.322	1.1	0.002	0.008
0.319	1.067	0.002	0.008
0.316	1.1	0.002	0.008
0.314	1.067	0.002	0.008
0.313	1.067	0.002	0.008
0.313	1.1	0.002	0.008
0.312	1.0	0.002	0.008
0.31	1.067	0.002	0.008
0.308	1.067	0.002	0.008
0.308	1.1	0.002	0.008
0.305	1.1	0.002	0.008
0.304	1.067	0.002	0.008
0.302	1.067	0.002	0.008
0.302	1.1	0.002	0.008
0.3	1.033	0.002	0.008
0.299	1.1	0.002	0.008
0.295	1.067	0.002	0.008
0.295	1.1	0.002	0.008
0.294	1.067	0.002	0.008
0.293	1.067	0.002	0.008
0.293	1.067	0.002	0.008
0.291	1.1	0.002	0.008
0.29	1.067	0.002	0.008
0.289	1.067	0.002	0.008
0.288	1.1	0.002	0.008
0.288	1.067	0.002	0.008
0.287	1.067	0.002	0.008
0.284	1.067	0.002	0.008
0.284	1.067	0.002	0.008
0.281	1.067	0.002	0.008
0.281	1.067	0.002	0.008
0.281	1.1	0.002	0.008
0.278	1.067	0.002	0.008
0.276	1.067	0.002	0.008
0.275	1.067	0.002	0.008
0.274	1.1	0.002	0.008
0.273	1.067	0.002	0.008
0.271	1.067	0.002	0.008
0.27	1.1	0.002	0.008
0.267	1.1	0.002	0.008
0.267	1.067	0.002	0.008
0.266	1.067	0.002	0.008
0.265	1.067	0.002	0.008
0.261	1.067	0.002	0.008
0.26	1.1	0.002	0.008
0.259	1.067	0.002	0.008
0.256	1.067	0.002	0.008
0.255	1.067	0.002	0.008
0.255	1.067	0.002	0.008
0.254	1.1	0.002	0.008
0.252	1.067	0.002	0.008
0.251	1.067	0.002	0.008
0.251	1.067	0.002	0.008
0.251	1.1	0.002	0.008
0.25	1.067	0.002	0.008
0.248	1.067	0.002	0.008
0.246	1.067	0.002	0.008
0.245	1.067	0.002	0.008
0.245	1.1	0.002	0.008
0.243	1.1	0.002	0.008
0.242	1.067	0.002	0.008
0.241	1.067	0.002	0.008
0.24	1.067	0.002	0.008
0.238	1.067	0.002	0.008
0.237	1.067	0.002	0.008
0.237	1.1	0.002	0.008
0.236	1.067	0.002	0.008
0.236	1.067	0.002	0.008
0.236	1.1	0.002	0.008
0.231	1.033	0.002	0.008
0.231	1.1	0.002	0.008
0.231	1.067	0.002	0.008
0.23	1.067	0.002	0.008
0.23	1.067	0.002	0.008
0.226	1.067	0.002	0.008
0.226	1.067	0.002	0.008
0.226	1.067	0.002	0.008
0.226	1.1	0.002	0.008
0.225	1.1	0.002	0.008
0.222	1.067	0.002	0.008
0.222	1.067	0.002	0.008
0.222	1.067	0.002	0.008
0.22	1.1	0.002	0.008
0.22	1.1	0.002	0.008
0.22	1.067	0.002	0.008
0.217	1.067	0.002	0.008
0.217	1.067	0.002	0.008
0.216	1.067	0.002	0.008
0.214	1.067	0.002	0.008
0.213	1.1	0.002	0.008
0.212	1.067	0.002	0.008
0.208	1.067	0.002	0.008
-0.211	1.067	0.002	0.008
-0.212	1.067	0.002	0.008
-0.214	1.067	0.002	0.008
-0.215	1.1	0.002	0.008
-0.218	1.067	0.002	0.008
-0.22	1.067	0.002	0.008
-0.22	1.067	0.002	0.008
-0.221	1.067	0.002	0.008
-0.223	1.1	0.002	0.008
-0.224	1.1	0.002	0.008
-0.225	1.067	0.002	0.008
-0.226	1.067	0.002	0.008
-0.228	1.067	0.002	0.008
-0.23	1.1	0.002	0.008
-0.23	1.067	0.002	0.008
-0.23	1.067	0.002	0.008
-0.231	1.067	0.002	0.008
-0.231	1.067	0.002	0.008
-0.233	1.1	0.002	0.008
-0.233	1.067	0.002	0.008
-0.234	1.067	0.002	0.008
-0.235	1.067	0.002	0.008
-0.236	1.067	0.002	0.008
-0.236	1.1	0.002	0.008
-0.236	1.067	0.002	0.008
-0.238	1.067	0.002	0.008
-0.24	1.1	0.002	0.008
-0.24	1.033	0.002	0.008
