Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
0.7	1.403	0.008	0.002
1.933	1.392	0.008	0.002
3.133	1.369	0.008	0.002
4.333	1.34	0.008	0.002
5.533	1.324	0.008	0.002
6.733	1.314	0.008	0.002
7.9	1.299	0.008	0.002
9.1	1.284	0.008	0.002
10.267	1.265	0.008	0.002
12.633	1.217	0.008	0.002
11.467	1.215	0.008	0.002
13.8	1.182	0.008	0.002
14.967	1.163	0.008	0.002
16.133	1.144	0.008	0.002
17.3	1.128	0.008	0.002
18.467	1.113	0.008	0.002
19.6	1.092	0.008	0.002
20.767	1.074	0.008	0.002
21.933	1.067	0.008	0.002
23.067	1.057	0.008	0.002
24.233	1.045	0.008	0.002
25.367	1.042	0.008	0.002
26.533	1.032	0.008	0.002
27.667	1.021	0.008	0.002
28.8	1.015	0.008	0.002
29.933	1.005	0.008	0.002
32.233	1.001	0.008	0.002
31.1	0.997	0.008	0.002
34.5	0.992	0.008	0.002
33.367	0.979	0.008	0.002
35.633	0.973	0.008	0.002
36.767	0.958	0.008	0.002
37.9	0.951	0.008	0.002
39.0	0.948	0.008	0.002
40.133	0.946	0.008	0.002
41.267	0.935	0.008	0.002
42.4	0.919	0.008	0.002
43.533	0.911	0.008	0.002
44.633	0.901	0.008	0.002
46.9	0.896	0.008	0.002
45.767	0.89	0.008	0.002
48.0	0.874	0.008	0.002
49.133	0.87	0.008	0.002
50.233	0.856	0.008	0.002
51.367	0.852	0.008	0.002
53.6	0.845	0.008	0.002
52.5	0.841	0.008	0.002
55.833	0.837	0.008	0.002
54.733	0.836	0.008	0.002
56.933	0.819	0.008	0.002
58.067	0.815	0.008	0.002
59.167	0.801	0.008	0.002
61.4	0.8	0.008	0.002
60.267	0.791	0.008	0.002
64.733	0.786	0.008	0.002
62.5	0.785	0.008	0.002
65.833	0.78	0.008	0.002
63.6	0.78	0.008	0.002
66.933	0.779	0.008	0.002
69.167	0.766	0.008	0.002
70.267	0.759	0.008	0.002
68.033	0.758	0.008	0.002
71.367	0.756	0.008	0.002
72.467	0.741	0.008	0.002
73.567	0.738	0.008	0.002
78.0	0.73	0.008	0.002
74.667	0.73	0.008	0.002
75.8	0.727	0.008	0.002
79.1	0.727	0.008	0.002
76.867	0.724	0.008	0.002
80.2	0.715	0.008	0.002
81.3	0.714	0.008	0.002
82.4	0.713	0.008	0.002
84.6	0.701	0.008	0.002
83.5	0.701	0.008	0.002
85.7	0.696	0.008	0.002
86.8	0.681	0.008	0.002
87.867	0.674	0.008	0.002
88.967	0.668	0.008	0.002
90.067	0.666	0.008	0.002
91.167	0.665	0.008	0.002
94.467	0.659	0.008	0.002
93.367	0.653	0.008	0.002
92.267	0.652	0.008	0.002
95.567	0.645	0.008	0.002
97.767	0.642	0.008	0.002
96.667	0.637	0.008	0.002
101.033	0.632	0.008	0.002
99.933	0.629	0.008	0.002
98.833	0.626	0.008	0.002
103.233	0.619	0.008	0.002
104.3	0.618	0.008	0.002
102.133	0.617	0.008	0.002
105.4	0.61	0.008	0.002
108.7	0.604	0.008	0.002
107.6	0.603	0.008	0.002
106.5	0.601	0.008	0.002
109.767	0.6	0.008	0.002
111.967	0.599	0.008	0.002
113.067	0.591	0.008	0.002
115.233	0.59	0.008	0.002
114.133	0.589	0.008	0.002
110.867	0.586	0.008	0.002
116.333	0.583	0.008	0.002
117.4	0.581	0.008	0.002
118.5	0.572	0.008	0.002
119.6	0.568	0.008	0.002
121.767	0.568	0.008	0.002
120.667	0.563	0.008	0.002
122.867	0.558	0.008	0.002
125.033	0.552	0.008	0.002
123.933	0.551	0.008	0.002
129.367	0.547	0.008	0.002
130.467	0.546	0.008	0.002
131.567	0.543	0.008	0.002
126.133	0.542	0.008	0.002
128.3	0.54	0.008	0.002
127.2	0.539	0.008	0.002
133.733	0.532	0.008	0.002
132.633	0.531	0.008	0.002
138.067	0.528	0.008	0.002
134.833	0.528	0.008	0.002
137.0	0.528	0.008	0.002
139.167	0.524	0.008	0.002
135.9	0.522	0.008	0.002
140.233	0.512	0.008	0.002
143.5	0.511	0.008	0.002
141.333	0.51	0.008	0.002
144.6	0.506	0.008	0.002
142.4	0.506	0.008	0.002
145.667	0.504	0.008	0.002
146.767	0.5	0.008	0.002
147.833	0.495	0.008	0.002
151.1	0.489	0.008	0.002
148.933	0.488	0.008	0.002
152.167	0.486	0.008	0.002
150.0	0.485	0.008	0.002
153.267	0.48	0.008	0.002
156.5	0.478	0.008	0.002
158.667	0.478	0.008	0.002
155.433	0.478	0.008	0.002
157.6	0.476	0.008	0.002
154.333	0.475	0.008	0.002
159.767	0.471	0.008	0.002
160.833	0.467	0.008	0.002
164.1	0.467	0.008	0.002
161.933	0.463	0.008	0.002
166.267	0.458	0.008	0.002
163.0	0.454	0.008	0.002
165.167	0.454	0.008	0.002
167.333	0.449	0.008	0.002
169.5	0.448	0.008	0.002
168.433	0.442	0.008	0.002
172.767	0.442	0.008	0.002
170.6	0.439	0.008	0.002
171.667	0.437	0.008	0.002
178.167	0.434	0.008	0.002
174.9	0.43	0.008	0.002
177.067	0.428	0.008	0.002
173.833	0.428	0.008	0.002
176.0	0.427	0.008	0.002
179.233	0.425	0.008	0.002
180.333	0.425	0.008	0.002
181.4	0.415	0.008	0.002
184.633	0.414	0.008	0.002
186.8	0.412	0.008	0.002
182.467	0.412	0.008	0.002
185.733	0.412	0.008	0.002
183.567	0.411	0.008	0.002
187.867	0.408	0.008	0.002
188.967	0.404	0.008	0.002
193.267	0.402	0.008	0.002
192.2	0.402	0.008	0.002
190.033	0.401	0.008	0.002
191.133	0.401	0.008	0.002
194.367	0.399	0.008	0.002
195.433	0.397	0.008	0.002
197.6	0.393	0.008	0.002
200.833	0.392	0.008	0.002
198.7	0.39	0.008	0.002
196.533	0.389	0.008	0.002
199.767	0.386	0.008	0.002
207.3	0.385	0.008	0.002
203.0	0.384	0.008	0.002
201.933	0.384	0.008	0.002
204.067	0.382	0.008	0.002
205.167	0.38	0.008	0.002
206.233	0.379	0.008	0.002
208.4	0.376	0.008	0.002
209.467	0.373	0.008	0.002
211.633	0.373	0.008	0.002
213.767	0.369	0.008	0.002
212.7	0.366	0.008	0.002
210.567	0.366	0.008	0.002
214.867	0.364	0.008	0.002
219.167	0.359	0.008	0.002
218.1	0.359	0.008	0.002
217.033	0.357	0.008	0.002
224.567	0.355	0.008	0.002
215.967	0.355	0.008	0.002
221.333	0.355	0.008	0.002
223.5	0.354	0.008	0.002
220.267	0.354	0.008	0.002
226.733	0.353	0.008	0.002
227.8	0.352	0.008	0.002
222.433	0.352	0.008	0.002
229.967	0.349	0.008	0.002
232.133	0.348	0.008	0.002
225.667	0.348	0.008	0.002
231.033	0.345	0.008	0.002
228.9	0.345	0.008	0.002
234.267	0.34	0.008	0.002
235.333	0.337	0.008	0.002
233.2	0.336	0.008	0.002
237.5	0.336	0.008	0.002
236.433	0.334	0.008	0.002
240.733	0.332	0.008	0.002
239.667	0.331	0.008	0.002
238.567	0.328	0.008	0.002
243.967	0.325	0.008	0.002
241.8	0.324	0.008	0.002
242.9	0.324	0.008	0.002
245.033	0.322	0.008	0.002
246.133	0.319	0.008	0.002
248.2	0.316	0.008	0.002
250.367	0.314	0.008	0.002
249.3	0.313	0.008	0.002
251.433	0.313	0.008	0.002
247.2	0.312	0.008	0.002
252.533	0.31	0.008	0.002
253.6	0.308	0.008	0.002
254.667	0.308	0.008	0.002
256.833	0.305	0.008	0.002
255.767	0.304	0.008	0.002
260.067	0.302	0.008	0.002
258.967	0.302	0.008	0.002
257.933	0.3	0.008	0.002
262.2	0.299	0.008	0.002
264.367	0.295	0.008	0.002
265.433	0.295	0.008	0.002
261.133	0.294	0.008	0.002
263.3	0.293	0.008	0.002
266.533	0.293	0.008	0.002
268.667	0.291	0.008	0.002
269.767	0.29	0.008	0.002
267.6	0.289	0.008	0.002
272.967	0.288	0.008	0.002
270.833	0.288	0.008	0.002
271.9	0.287	0.008	0.002
275.133	0.284	0.008	0.002
274.067	0.284	0.008	0.002
277.3	0.281	0.008	0.002
278.367	0.281	0.008	0.002
276.2	0.281	0.008	0.002
279.433	0.278	0.008	0.002
282.667	0.276	0.008	0.002
281.6	0.275	0.008	0.002
280.5	0.274	0.008	0.002
283.733	0.273	0.008	0.002
285.9	0.271	0.008	0.002
284.8	0.27	0.008	0.002
288.033	0.267	0.008	0.002
286.967	0.267	0.008	0.002
289.133	0.266	0.008	0.002
290.2	0.265	0.008	0.002
291.267	0.261	0.008	0.002
292.333	0.26	0.008	0.002
293.433	0.259	0.008	0.002
296.667	0.256	0.008	0.002
297.733	0.255	0.008	0.002
300.967	0.255	0.008	0.002
298.8	0.254	0.008	0.002
295.6	0.252	0.008	0.002
305.267	0.251	0.008	0.002
302.033	0.251	0.008	0.002
294.5	0.251	0.008	0.002
299.9	0.25	0.008	0.002
303.1	0.248	0.008	0.002
307.4	0.246	0.008	0.002
306.333	0.245	0.008	0.002
304.167	0.245	0.008	0.002
308.467	0.243	0.008	0.002
309.567	0.242	0.008	0.002
314.933	0.241	0.008	0.002
310.633	0.24	0.008	0.002
311.7	0.238	0.008	0.002
313.867	0.237	0.008	0.002
316.0	0.237	0.008	0.002
317.1	0.236	0.008	0.002
318.167	0.236	0.008	0.002
312.767	0.236	0.008	0.002
325.7	0.231	0.008	0.002
320.3	0.231	0.008	0.002
322.467	0.231	0.008	0.002
319.233	0.23	0.008	0.002
321.4	0.23	0.008	0.002
324.633	0.226	0.008	0.002
328.9	0.226	0.008	0.002
327.833	0.226	0.008	0.002
326.733	0.226	0.008	0.002
323.533	0.225	0.008	0.002
332.133	0.222	0.008	0.002
331.067	0.222	0.008	0.002
333.2	0.222	0.008	0.002
335.333	0.22	0.008	0.002
329.967	0.22	0.008	0.002
334.267	0.22	0.008	0.002
337.5	0.217	0.008	0.002
340.733	0.217	0.008	0.002
336.433	0.216	0.008	0.002
338.567	0.214	0.008	0.002
339.633	0.213	0.008	0.002
341.8	0.212	0.008	0.002
342.867	0.208	0.008	0.002
