Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
0.567	0.338	0.008	0.002
1.667	0.337	0.008	0.002
4.967	0.334	0.008	0.002
3.867	0.332	0.008	0.002
2.767	0.329	0.008	0.002
6.067	0.323	0.008	0.002
7.167	0.32	0.008	0.002
8.267	0.318	0.008	0.002
9.367	0.317	0.008	0.002
10.5	0.313	0.008	0.002
11.567	0.31	0.008	0.002
12.667	0.303	0.008	0.002
13.8	0.302	0.008	0.002
16.0	0.302	0.008	0.002
17.1	0.299	0.008	0.002
19.3	0.296	0.008	0.002
14.867	0.296	0.008	0.002
20.4	0.296	0.008	0.002
23.7	0.294	0.008	0.002
18.2	0.293	0.008	0.002
22.6	0.288	0.008	0.002
21.5	0.288	0.008	0.002
24.8	0.282	0.008	0.002
27.0	0.279	0.008	0.002
25.9	0.278	0.008	0.002
28.1	0.276	0.008	0.002
29.2	0.275	0.008	0.002
30.3	0.27	0.008	0.002
31.4	0.265	0.008	0.002
34.667	0.263	0.008	0.002
35.8	0.26	0.008	0.002
33.6	0.26	0.008	0.002
32.467	0.259	0.008	0.002
36.867	0.257	0.008	0.002
37.967	0.246	0.008	0.002
40.167	0.245	0.008	0.002
39.067	0.245	0.008	0.002
44.567	0.244	0.008	0.002
43.467	0.242	0.008	0.002
42.367	0.239	0.008	0.002
41.267	0.239	0.008	0.002
45.667	0.233	0.008	0.002
46.767	0.231	0.008	0.002
47.867	0.23	0.008	0.002
48.967	0.227	0.008	0.002
50.067	0.225	0.008	0.002
51.167	0.223	0.008	0.002
52.267	0.222	0.008	0.002
53.367	0.219	0.008	0.002
54.433	0.211	0.008	0.002
55.533	0.207	0.008	0.002
