Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
0.324	1.133	0.002	0.008
0.323	1.133	0.002	0.008
0.318	1.167	0.002	0.008
0.315	1.133	0.002	0.008
0.314	1.133	0.002	0.008
0.314	1.133	0.002	0.008
0.313	1.167	0.002	0.008
0.312	1.133	0.002	0.008
0.311	1.167	0.002	0.008
0.311	1.133	0.002	0.008
0.31	1.133	0.002	0.008
0.309	1.133	0.002	0.008
0.308	1.133	0.002	0.008
0.307	1.167	0.002	0.008
0.305	1.133	0.002	0.008
0.304	1.133	0.002	0.008
0.303	1.133	0.002	0.008
0.301	1.133	0.002	0.008
0.298	1.133	0.002	0.008
0.297	1.133	0.002	0.008
0.294	1.167	0.002	0.008
0.291	1.133	0.002	0.008
0.29	1.167	0.002	0.008
0.287	1.133	0.002	0.008
0.285	1.133	0.002	0.008
0.283	1.133	0.002	0.008
0.281	1.167	0.002	0.008
0.279	1.133	0.002	0.008
0.275	1.133	0.002	0.008
0.275	1.133	0.002	0.008
0.273	1.167	0.002	0.008
0.269	1.133	0.002	0.008
0.267	1.133	0.002	0.008
0.264	1.133	0.002	0.008
0.262	1.133	0.002	0.008
0.26	1.133	0.002	0.008
0.257	1.133	0.002	0.008
0.254	1.167	0.002	0.008
0.252	1.133	0.002	0.008
-0.246	1.133	0.002	0.008
-0.249	1.133	0.002	0.008
-0.252	1.167	0.002	0.008
-0.255	1.133	0.002	0.008
-0.257	1.133	0.002	0.008
-0.26	1.133	0.002	0.008
-0.262	1.133	0.002	0.008
-0.263	1.167	0.002	0.008
-0.267	1.133	0.002	0.008
-0.268	1.133	0.002	0.008
-0.27	1.133	0.002	0.008
-0.273	1.167	0.002	0.008
-0.276	1.133	0.002	0.008
-0.279	1.133	0.002	0.008
-0.28	1.133	0.002	0.008
-0.282	1.167	0.002	0.008
-0.284	1.133	0.002	0.008
-0.287	1.133	0.002	0.008
-0.289	1.133	0.002	0.008
-0.291	1.133	0.002	0.008
-0.293	1.167	0.002	0.008
-0.294	1.167	0.002	0.008
-0.294	1.133	0.002	0.008
-0.298	1.133	0.002	0.008
-0.299	1.133	0.002	0.008
-0.302	1.167	0.002	0.008
-0.304	1.133	0.002	0.008
-0.306	1.133	0.002	0.008
-0.307	1.133	0.002	0.008
-0.315	1.133	0.002	0.008
-0.322	1.133	0.002	0.008
-0.329	1.133	0.002	0.008
-0.332	1.133	0.002	0.008
-0.338	1.167	0.002	0.008
-0.339	1.167	0.002	0.008
-0.34	1.133	0.002	0.008
-0.349	1.133	0.002	0.008
-0.354	1.133	0.002	0.008
