Amplitude (radians)	Period (seconds)	Amplitude uncertainty (radians)	Period uncertainty (seconds)
1.48	1.3	0.02	0.008
1.46	1.267	0.02	0.008
1.45	1.3	0.02	0.008
1.42	1.233	0.02	0.008
1.4	1.2	0.02	0.008
1.39	1.3	0.02	0.008
1.37	1.2	0.02	0.008
1.36	1.233	0.02	0.008
1.33	1.267	0.02	0.008
1.33	1.233	0.02	0.008
1.31	1.233	0.02	0.008
1.3	1.233	0.02	0.008
1.28	1.167	0.02	0.008
1.27	1.2	0.02	0.008
1.27	1.233	0.02	0.008
1.26	1.267	0.02	0.008
1.25	1.2	0.02	0.008
1.25	1.167	0.02	0.008
1.22	1.267	0.02	0.008
1.22	1.233	0.02	0.008
1.21	1.167	0.02	0.008
1.19	1.2	0.02	0.008
1.16	1.2	0.02	0.008
1.15	1.133	0.02	0.008
1.15	1.2	0.02	0.008
1.15	1.2	0.02	0.008
1.14	1.133	0.02	0.008
1.12	1.167	0.02	0.008
1.11	1.2	0.02	0.008
1.1	1.167	0.02	0.008
1.09	1.2	0.02	0.008
1.09	1.167	0.02	0.008
1.07	1.2	0.02	0.008
1.06	1.167	0.02	0.008
1.05	1.133	0.02	0.008
1.04	1.167	0.02	0.008
1.04	1.2	0.02	0.008
1.03	1.167	0.02	0.008
1.01	1.167	0.02	0.008
1.01	1.167	0.02	0.008
1.0	1.2	0.02	0.008
0.99	1.133	0.02	0.008
0.98	1.233	0.02	0.008
0.98	1.167	0.02	0.008
0.98	1.133	0.02	0.008
0.97	1.133	0.02	0.008
0.97	1.1	0.02	0.008
0.97	1.2	0.02	0.008
0.94	1.167	0.02	0.008
0.94	1.133	0.02	0.008
0.93	1.167	0.02	0.008
0.93	1.167	0.02	0.008
0.93	1.167	0.02	0.008
0.91	1.167	0.02	0.008
0.91	1.1	0.02	0.008
0.9	1.2	0.02	0.008
0.9	1.167	0.02	0.008
0.89	1.1	0.02	0.008
0.88	1.133	0.02	0.008
0.88	1.1	0.02	0.008
0.87	1.2	0.02	0.008
0.87	1.167	0.02	0.008
0.87	1.167	0.02	0.008
0.87	1.1	0.02	0.008
0.86	1.133	0.02	0.008
0.85	1.1	0.02	0.008
0.84	1.2	0.02	0.008
0.84	1.1	0.02	0.008
0.83	1.167	0.02	0.008
0.83	1.2	0.02	0.008
0.82	1.133	0.02	0.008
0.81	1.2	0.02	0.008
0.81	1.133	0.02	0.008
0.8	1.133	0.02	0.008
0.8	1.167	0.02	0.008
0.8	1.2	0.02	0.008
0.79	1.1	0.02	0.008
0.79	1.133	0.02	0.008
0.78	1.1	0.02	0.008
0.78	1.133	0.02	0.008
0.77	1.133	0.02	0.008
0.77	1.2	0.02	0.008
0.77	1.067	0.02	0.008
0.77	1.133	0.02	0.008
