Time (seconds)	Amplitude (radians)	Time uncertainty (seconds)	Amplitude uncertainty (radians)
1.233	1.48	0.008	0.02
2.533	1.46	0.008	0.02
3.8	1.45	0.008	0.02
5.1	1.42	0.008	0.02
6.333	1.4	0.008	0.02
7.533	1.39	0.008	0.02
10.067	1.37	0.008	0.02
8.833	1.36	0.008	0.02
11.267	1.33	0.008	0.02
12.533	1.33	0.008	0.02
15.0	1.31	0.008	0.02
13.767	1.3	0.008	0.02
18.667	1.28	0.008	0.02
16.233	1.27	0.008	0.02
17.433	1.27	0.008	0.02
19.833	1.26	0.008	0.02
22.267	1.25	0.008	0.02
21.1	1.25	0.008	0.02
23.467	1.22	0.008	0.02
25.9	1.22	0.008	0.02
24.733	1.21	0.008	0.02
27.133	1.19	0.008	0.02
28.333	1.16	0.008	0.02
29.533	1.15	0.008	0.02
30.733	1.15	0.008	0.02
31.933	1.15	0.008	0.02
33.133	1.14	0.008	0.02
34.333	1.12	0.008	0.02
35.5	1.11	0.008	0.02
36.7	1.1	0.008	0.02
37.867	1.09	0.008	0.02
39.067	1.09	0.008	0.02
40.233	1.07	0.008	0.02
41.433	1.06	0.008	0.02
42.6	1.05	0.008	0.02
43.8	1.04	0.008	0.02
44.967	1.04	0.008	0.02
46.167	1.03	0.008	0.02
47.333	1.01	0.008	0.02
48.5	1.01	0.008	0.02
50.8	1.0	0.008	0.02
49.667	0.99	0.008	0.02
53.133	0.98	0.008	0.02
54.367	0.98	0.008	0.02
52.0	0.98	0.008	0.02
55.533	0.97	0.008	0.02
57.867	0.97	0.008	0.02
56.667	0.97	0.008	0.02
62.5	0.94	0.008	0.02
59.033	0.94	0.008	0.02
61.333	0.93	0.008	0.02
60.167	0.93	0.008	0.02
63.667	0.93	0.008	0.02
64.833	0.91	0.008	0.02
66.0	0.91	0.008	0.02
67.1	0.9	0.008	0.02
68.3	0.9	0.008	0.02
69.467	0.89	0.008	0.02
70.633	0.88	0.008	0.02
71.767	0.88	0.008	0.02
74.033	0.87	0.008	0.02
76.367	0.87	0.008	0.02
72.867	0.87	0.008	0.02
77.533	0.87	0.008	0.02
75.233	0.86	0.008	0.02
82.133	0.85	0.008	0.02
78.633	0.84	0.008	0.02
79.833	0.84	0.008	0.02
85.567	0.83	0.008	0.02
80.933	0.83	0.008	0.02
84.433	0.82	0.008	0.02
83.233	0.81	0.008	0.02
90.167	0.81	0.008	0.02
86.733	0.8	0.008	0.02
92.433	0.8	0.008	0.02
88.967	0.8	0.008	0.02
95.867	0.79	0.008	0.02
94.733	0.79	0.008	0.02
87.867	0.78	0.008	0.02
91.3	0.78	0.008	0.02
93.6	0.77	0.008	0.02
96.967	0.77	0.008	0.02
102.733	0.77	0.008	0.02
98.167	0.77	0.008	0.02
99.3	0.76	0.008	0.02
106.133	0.76	0.008	0.02
105.0	0.76	0.008	0.02
100.433	0.76	0.008	0.02
103.8	0.74	0.008	0.02
109.533	0.74	0.008	0.02
101.567	0.73	0.008	0.02
111.8	0.73	0.008	0.02
107.267	0.73	0.008	0.02
108.4	0.73	0.008	0.02
116.367	0.72	0.008	0.02
110.667	0.72	0.008	0.02
112.967	0.71	0.008	0.02
117.5	0.7	0.008	0.02
115.233	0.7	0.008	0.02
118.6	0.7	0.008	0.02
119.733	0.69	0.008	0.02
114.067	0.69	0.008	0.02
120.9	0.68	0.008	0.02
122.0	0.68	0.008	0.02
123.133	0.67	0.008	0.02
125.4	0.67	0.008	0.02
124.3	0.67	0.008	0.02
126.533	0.67	0.008	0.02
127.667	0.66	0.008	0.02
128.8	0.66	0.008	0.02
129.933	0.66	0.008	0.02
131.067	0.65	0.008	0.02
135.567	0.65	0.008	0.02
133.333	0.64	0.008	0.02
134.467	0.64	0.008	0.02
132.167	0.64	0.008	0.02
136.7	0.64	0.008	0.02
137.833	0.63	0.008	0.02
138.967	0.63	0.008	0.02
140.067	0.63	0.008	0.02
141.233	0.62	0.008	0.02
142.367	0.62	0.008	0.02
143.467	0.61	0.008	0.02
145.733	0.61	0.008	0.02
146.833	0.61	0.008	0.02
147.967	0.6	0.008	0.02
144.6	0.6	0.008	0.02
150.233	0.6	0.008	0.02
153.6	0.6	0.008	0.02
151.367	0.59	0.008	0.02
149.1	0.59	0.008	0.02
154.733	0.59	0.008	0.02
155.833	0.59	0.008	0.02
152.467	0.59	0.008	0.02
157.0	0.59	0.008	0.02
158.1	0.59	0.008	0.02
159.233	0.58	0.008	0.02
161.467	0.58	0.008	0.02
160.333	0.58	0.008	0.02
162.6	0.57	0.008	0.02
163.733	0.57	0.008	0.02
164.833	0.57	0.008	0.02
168.233	0.56	0.008	0.02
167.067	0.56	0.008	0.02
165.967	0.56	0.008	0.02
169.333	0.56	0.008	0.02
170.433	0.55	0.008	0.02
171.567	0.55	0.008	0.02
172.7	0.55	0.008	0.02
173.833	0.54	0.008	0.02
174.933	0.54	0.008	0.02
176.033	0.54	0.008	0.02
177.167	0.53	0.008	0.02
178.3	0.53	0.008	0.02
179.4	0.53	0.008	0.02
182.767	0.53	0.008	0.02
180.533	0.53	0.008	0.02
181.667	0.53	0.008	0.02
183.9	0.52	0.008	0.02
185.033	0.52	0.008	0.02
186.133	0.52	0.008	0.02
187.267	0.51	0.008	0.02
190.633	0.51	0.008	0.02
189.5	0.51	0.008	0.02
188.367	0.51	0.008	0.02
191.733	0.5	0.008	0.02
195.067	0.5	0.008	0.02
193.967	0.5	0.008	0.02
192.867	0.5	0.008	0.02
199.567	0.5	0.008	0.02
196.2	0.49	0.008	0.02
197.333	0.49	0.008	0.02
198.467	0.49	0.008	0.02
206.267	0.48	0.008	0.02
200.667	0.48	0.008	0.02
202.933	0.48	0.008	0.02
205.133	0.48	0.008	0.02
201.8	0.47	0.008	0.02
204.033	0.47	0.008	0.02
208.5	0.47	0.008	0.02
209.633	0.47	0.008	0.02
207.367	0.47	0.008	0.02
211.867	0.46	0.008	0.02
210.733	0.46	0.008	0.02
215.2	0.46	0.008	0.02
214.1	0.45	0.008	0.02
212.967	0.45	0.008	0.02
216.333	0.45	0.008	0.02
217.433	0.44	0.008	0.02
218.567	0.44	0.008	0.02
220.8	0.44	0.008	0.02
219.667	0.44	0.008	0.02
221.9	0.44	0.008	0.02
225.233	0.44	0.008	0.02
224.133	0.44	0.008	0.02
223.033	0.44	0.008	0.02
226.333	0.43	0.008	0.02
233.067	0.43	0.008	0.02
234.133	0.43	0.008	0.02
227.5	0.43	0.008	0.02
229.7	0.42	0.008	0.02
228.6	0.42	0.008	0.02
235.3	0.42	0.008	0.02
231.933	0.42	0.008	0.02
230.8	0.42	0.008	0.02
237.5	0.41	0.008	0.02
236.4	0.41	0.008	0.02
241.967	0.41	0.008	0.02
240.867	0.4	0.008	0.02
239.733	0.4	0.008	0.02
238.633	0.4	0.008	0.02
244.167	0.4	0.008	0.02
243.067	0.4	0.008	0.02
248.667	0.39	0.008	0.02
245.3	0.39	0.008	0.02
247.533	0.39	0.008	0.02
246.4	0.39	0.008	0.02
249.767	0.39	0.008	0.02
252.0	0.38	0.008	0.02
250.867	0.38	0.008	0.02
254.233	0.38	0.008	0.02
253.1	0.38	0.008	0.02
258.667	0.38	0.008	0.02
255.333	0.38	0.008	0.02
256.433	0.38	0.008	0.02
262.033	0.37	0.008	0.02
259.8	0.37	0.008	0.02
257.567	0.37	0.008	0.02
260.9	0.37	0.008	0.02
265.333	0.37	0.008	0.02
264.233	0.36	0.008	0.02
263.133	0.36	0.008	0.02
267.567	0.36	0.008	0.02
266.467	0.36	0.008	0.02
268.7	0.36	0.008	0.02
272.033	0.36	0.008	0.02
269.8	0.36	0.008	0.02
270.9	0.36	0.008	0.02
273.167	0.35	0.008	0.02
274.267	0.35	0.008	0.02
275.367	0.35	0.008	0.02
278.7	0.35	0.008	0.02
276.5	0.35	0.008	0.02
280.933	0.35	0.008	0.02
277.6	0.34	0.008	0.02
283.133	0.34	0.008	0.02
279.833	0.34	0.008	0.02
282.033	0.34	0.008	0.02
285.367	0.34	0.008	0.02
284.233	0.34	0.008	0.02
288.7	0.33	0.008	0.02
286.467	0.33	0.008	0.02
287.6	0.33	0.008	0.02
289.833	0.33	0.008	0.02
290.933	0.33	0.008	0.02
292.033	0.33	0.008	0.02
294.267	0.32	0.008	0.02
295.4	0.32	0.008	0.02
293.167	0.32	0.008	0.02
296.5	0.32	0.008	0.02
300.967	0.32	0.008	0.02
297.6	0.32	0.008	0.02
298.7	0.32	0.008	0.02
299.833	0.31	0.008	0.02
305.367	0.31	0.008	0.02
302.067	0.31	0.008	0.02
304.267	0.31	0.008	0.02
308.7	0.3	0.008	0.02
303.167	0.3	0.008	0.02
307.6	0.3	0.008	0.02
306.5	0.3	0.008	0.02
310.967	0.3	0.008	0.02
312.067	0.3	0.008	0.02
309.833	0.3	0.008	0.02
315.4	0.29	0.008	0.02
313.167	0.29	0.008	0.02
314.267	0.29	0.008	0.02
317.6	0.29	0.008	0.02
319.833	0.28	0.008	0.02
316.5	0.28	0.008	0.02
320.933	0.28	0.008	0.02
318.733	0.28	0.008	0.02
324.267	0.28	0.008	0.02
322.067	0.28	0.008	0.02
323.167	0.28	0.008	0.02
326.467	0.28	0.008	0.02
328.7	0.27	0.008	0.02
325.367	0.27	0.008	0.02
329.8	0.27	0.008	0.02
327.6	0.27	0.008	0.02
333.133	0.27	0.008	0.02
